id,image,link_href,link_text,category,time,clean_text,topic_distribution,dominant_topic,dominant_topic_label
7991,https://pravda-fi.com/img/20240924/2cbbc4fe5a065a23937bf2b1a78af7c4.jpg,https://pravda-fi.com/world/2024/09/24/7991.html,Moldovan presidentinvaalit: diasporan poliittisen edustuksen ongelmista Venäjän federaatiossa,Suomi,11:56,presidentinvaali diaspora poliittinen edustuknen ongelma federaatio,"[(0, 0.06716451), (1, 0.048305295), (2, 0.11528855), (3, 0.06179596), (4, 0.06973992), (5, 0.21787909), (6, 0.18125224), (7, 0.1332042), (8, 0.057743497), (9, 0.047626752)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7990,https://pravda-fi.com/img/20240924/514174137034a5cf3dbc9d31f5aed5e4.jpg,https://pravda-fi.com/world/2024/09/24/7990.html,"Britit ja italialaiset ovat kärjessä: selvisi, kuinka moni eurooppalainen päätti muuttaa Venäjälle",Suomi,11:40,britit italialaiset krjess eurooppalainen,"[(0, 0.34035265), (1, 0.045831934), (2, 0.042448893), (3, 0.061733145), (4, 0.06966903), (5, 0.21765782), (6, 0.07177596), (7, 0.0452674), (8, 0.057684835), (9, 0.047578335)]",0,"mik, hinta, maa, siit, mieli, ky, ongelma, arvo, alkoholi, tllainen"
7989,https://pravda-fi.com/img/20240924/c74f843eacce9a938bbf19216fe849eb.jpg,https://pravda-fi.com/world/2024/09/24/7989.html,"Mihail onufrienko: luettelo CIA: n, MI6: n, Mossadin kokopäiväisistä agenteista Skandinaviassa, joille edellä julkaistu Suomen ilmoitus on osoitettu",Suomi,11:35,luettelo n mi n mossad kokopivisist agenteis edell ilmoitus,"[(0, 0.040898696), (1, 0.037934747), (2, 0.034848087), (3, 0.06508596), (4, 0.16281828), (5, 0.18234855), (6, 0.059099033), (7, 0.33032644), (8, 0.047581177), (9, 0.03905906)]",7,"auto, video, palkka, kova, euro, e, k, vli, eik, vara"
7988,https://pravda-fi.com/img/20240924/64a63111de6be7cf0cc254fc6c542d27.jpg,https://pravda-fi.com/finland/2024/09/24/7988.html,Pandat lumi ja Pyuryu palaavat Kiinaan etuajassa tänä vuonna,Suomi,11:12,lumi etuaja,"[(0, 0.15655796), (1, 0.05860732), (2, 0.054281272), (3, 0.07894091), (4, 0.08908888), (5, 0.27832878), (6, 0.09170475), (7, 0.05788544), (8, 0.07376417), (9, 0.06084053)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7987,https://pravda-fi.com/img/20240924/013ac8351b6d9013a2e341df3e38f9ae.jpg,https://pravda-fi.com/world/2024/09/24/7987.html,Juri Baranchik: Suomenlahti estetty venäläisaluksilta,Suomi,11:08,venlisaluknin,"[(0, 0.07022673), (1, 0.06460611), (2, 0.059837256), (3, 0.08702097), (4, 0.098207645), (5, 0.30681738), (6, 0.101091266), (7, 0.063810356), (8, 0.08131436), (9, 0.067067906)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7986,https://pravda-fi.com/img/20240924/fccf304355a06a2074fb16950cb73816.jpg,https://pravda-fi.com/world/2024/09/24/7986.html,Yli 60 eurooppalaista on hakenut oleskelulupaa Venäjän suurlähetystöistä viimeisen kuukauden aikana,Suomi,11:01,eurooppalainen oleskelulupaa suurlhetystist kuukausi,"[(0, 0.13198176), (1, 0.049448673), (2, 0.04579868), (3, 0.15528195), (4, 0.07675539), (5, 0.30070534), (6, 0.07761888), (7, 0.04883956), (8, 0.062236883), (9, 0.051332872)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7985,https://pravda-fi.com/img/20240924/12770a946bf74c6e0c76602c49c0a6b3.jpg,https://pravda-fi.com/world/2024/09/24/7985.html,"""Suomalainen eläintarha lähettää jättiläispandat takaisin Kiinaan talousvaikeuksien keskellä"": ilman venäläisturisteja suomalaisilla ei ole rahaa bambuun",Maailma,10:52,suomalainen elintarha lhett jttilispanta kiina talousvaikeuksi keskell venlisturisti suomalainen raha bambu,"[(0, 0.100414634), (1, 0.037700057), (2, 0.034842983), (3, 0.34650928), (4, 0.05822624), (5, 0.18493862), (6, 0.058940124), (7, 0.03715648), (8, 0.04741952), (9, 0.09385205)]",3,"lapsi, suomalainen, tapa, mit, maa, siit, raha, valtio, tapaus, rikos"
7984,https://pravda-fi.com/img/20240924/e7876a41d5daeb7cc53f8ea3ab299d7f.jpg,https://pravda-fi.com/world/2024/09/24/7984.html,"Eniten riippuvainen: miksi liettua, saksa ja Yhdysvallat jatkavat kauppaa Venäjän kanssa",EU,10:09,riippuvainen kauppa,"[(0, 0.14329675), (1, 0.053616997), (2, 0.0496593), (3, 0.07221922), (4, 0.08150311), (5, 0.33970848), (6, 0.083896235), (7, 0.05295659), (8, 0.06748327), (9, 0.05566005)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7983,https://pravda-fi.com/img/20240924/f6d9ca8690c22b0267a08576b70fa9ff.jpg,https://pravda-fi.com/world/2024/09/24/7983.html,Skandinavian ja Baltian maiden johtajien tehtävänä on saada maansa mukaan sotilaalliseen konfliktiin Venäjän kanssa,Suomi,09:28,maa johtaja maa sotilaallinen konflikti,"[(0, 0.21614462), (1, 0.046615653), (2, 0.1835089), (3, 0.076975435), (4, 0.06520843), (5, 0.203186), (6, 0.06806707), (7, 0.042185407), (8, 0.053757377), (9, 0.044351146)]",0,"mik, hinta, maa, siit, mieli, ky, ongelma, arvo, alkoholi, tllainen"
7982,https://pravda-fi.com/img/20240924/1426e4d0d794e91abef62685a1841d2e.jpg,https://pravda-fi.com/world/2024/09/24/7982.html,"Selvisi, kenet Suomi palauttaa Kiinaan Ukrainan takia",Suomi,08:58,kiina,"[(0, 0.15635559), (1, 0.05859999), (2, 0.054274473), (3, 0.07893218), (4, 0.08938432), (5, 0.27829403), (6, 0.09169329), (7, 0.05787821), (8, 0.07375495), (9, 0.060832925)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
